,category,jitter,shape_indices,widths
0,straight,0,0,0.2
1,straight,0,1,0.2064141414141414
2,straight,0,2,0.21282828282828284
3,straight,0,3,0.21924242424242424
4,straight,0,4,0.22565656565656567
5,straight,0,5,0.23207070707070707
6,straight,0,6,0.23848484848484847
7,straight,0,7,0.2448989898989899
8,straight,0,8,0.2513131313131313
9,straight,0,9,0.2577272727272727
10,straight,0,10,0.2641414141414141
11,straight,0,11,0.27055555555555555
12,straight,0,12,0.276969696969697
13,straight,0,13,0.28338383838383835
14,straight,0,14,0.2897979797979798
15,straight,0,15,0.2962121212121212
16,straight,0,16,0.3026262626262626
17,straight,0,17,0.309040404040404
18,straight,0,18,0.31545454545454543
19,straight,0,19,0.32186868686868686
20,straight,0,20,0.3282828282828283
21,straight,0,21,0.33469696969696966
22,straight,0,22,0.3411111111111111
23,straight,0,23,0.34752525252525246
24,straight,0,24,0.3539393939393939
25,straight,0,25,0.3603535353535353
26,straight,0,26,0.36676767676767674
27,straight,0,27,0.37318181818181817
28,straight,0,28,0.37959595959595954
29,straight,0,29,0.38601010101010097
30,straight,0,30,0.39242424242424234
31,straight,0,31,0.39883838383838377
32,straight,0,32,0.4052525252525252
33,straight,0,33,0.4116666666666666
34,straight,0,34,0.41808080808080805
35,straight,0,35,0.4244949494949494
36,straight,0,36,0.43090909090909085
37,straight,0,37,0.4373232323232322
38,straight,0,38,0.44373737373737365
39,straight,0,39,0.4501515151515151
40,straight,0,40,0.4565656565656565
41,straight,0,41,0.4629797979797979
42,straight,0,42,0.4693939393939393
43,straight,0,43,0.47580808080808074
44,straight,0,44,0.48222222222222216
45,straight,0,45,0.48863636363636354
46,straight,0,46,0.49505050505050496
47,straight,0,47,0.5014646464646464
48,straight,0,48,0.5078787878787878
49,straight,0,49,0.5142929292929292
50,straight,0,50,0.5207070707070707
51,straight,0,51,0.5271212121212121
52,straight,0,52,0.5335353535353534
53,straight,0,53,0.5399494949494948
54,straight,0,54,0.5463636363636363
55,straight,0,55,0.5527777777777777
56,straight,0,56,0.559191919191919
57,straight,0,57,0.5656060606060604
58,straight,0,58,0.5720202020202019
59,straight,0,59,0.5784343434343433
60,straight,0,60,0.5848484848484847
61,straight,0,61,0.5912626262626262
62,straight,0,62,0.5976767676767676
63,straight,0,63,0.604090909090909
64,straight,0,64,0.6105050505050504
65,straight,0,65,0.6169191919191919
66,straight,0,66,0.6233333333333332
67,straight,0,67,0.6297474747474746
68,straight,0,68,0.636161616161616
69,straight,0,69,0.6425757575757575
70,straight,0,70,0.6489898989898988
71,straight,0,71,0.6554040404040402
72,straight,0,72,0.6618181818181816
73,straight,0,73,0.6682323232323231
74,straight,0,74,0.6746464646464645
75,straight,0,75,0.6810606060606059
76,straight,0,76,0.6874747474747473
77,straight,0,77,0.6938888888888888
78,straight,0,78,0.7003030303030302
79,straight,0,79,0.7067171717171716
80,straight,0,80,0.7131313131313131
81,straight,0,81,0.7195454545454545
82,straight,0,82,0.7259595959595957
83,straight,0,83,0.7323737373737371
84,straight,0,84,0.7387878787878785
85,straight,0,85,0.74520202020202
86,straight,0,86,0.7516161616161614
87,straight,0,87,0.7580303030303028
88,straight,0,88,0.7644444444444443
89,straight,0,89,0.7708585858585857
90,straight,0,90,0.7772727272727271
91,straight,0,91,0.7836868686868685
92,straight,0,92,0.79010101010101
93,straight,0,93,0.7965151515151514
94,straight,0,94,0.8029292929292928
95,straight,0,95,0.8093434343434343
96,straight,0,96,0.8157575757575755
97,straight,0,97,0.8221717171717169
98,straight,0,98,0.8285858585858583
99,straight,0,99,0.8349999999999999
100,curved,0,0,0.7649999999999998
101,curved,0,1,0.7714141414141412
102,curved,0,2,0.7778282828282826
103,curved,0,3,0.7842424242424241
104,curved,0,4,0.7906565656565655
105,curved,0,5,0.7970707070707068
106,curved,0,6,0.8034848484848482
107,curved,0,7,0.8098989898989897
108,curved,0,8,0.8163131313131311
109,curved,0,9,0.8227272727272725
110,curved,0,10,0.829141414141414
111,curved,0,11,0.8355555555555554
112,curved,0,12,0.8419696969696968
113,curved,0,13,0.8483838383838382
114,curved,0,14,0.8547979797979797
115,curved,0,15,0.861212121212121
116,curved,0,16,0.8676262626262624
117,curved,0,17,0.8740404040404038
118,curved,0,18,0.8804545454545453
119,curved,0,19,0.8868686868686867
120,curved,0,20,0.8932828282828281
121,curved,0,21,0.8996969696969696
122,curved,0,22,0.9061111111111109
123,curved,0,23,0.9125252525252523
124,curved,0,24,0.9189393939393937
125,curved,0,25,0.9253535353535352
126,curved,0,26,0.9317676767676766
127,curved,0,27,0.938181818181818
128,curved,0,28,0.9445959595959594
129,curved,0,29,0.9510101010101009
130,curved,0,30,0.9574242424242423
131,curved,0,31,0.9638383838383837
132,curved,0,32,0.9702525252525251
133,curved,0,33,0.9766666666666666
134,curved,0,34,0.9830808080808079
135,curved,0,35,0.9894949494949493
136,curved,0,36,0.9959090909090907
137,curved,0,37,1.0023232323232323
138,curved,0,38,1.0087373737373735
139,curved,0,39,1.015151515151515
140,curved,0,40,1.0215656565656563
141,curved,0,41,1.0279797979797978
142,curved,0,42,1.0343939393939392
143,curved,0,43,1.0408080808080806
144,curved,0,44,1.047222222222222
145,curved,0,45,1.0536363636363635
146,curved,0,46,1.060050505050505
147,curved,0,47,1.0664646464646463
148,curved,0,48,1.0728787878787878
149,curved,0,49,1.0792929292929292
150,curved,0,50,1.0857070707070706
151,curved,0,51,1.092121212121212
152,curved,0,52,1.0985353535353535
153,curved,0,53,1.1049494949494947
154,curved,0,54,1.1113636363636363
155,curved,0,55,1.1177777777777775
156,curved,0,56,1.1241919191919192
157,curved,0,57,1.1306060606060604
158,curved,0,58,1.1370202020202018
159,curved,0,59,1.1434343434343432
160,curved,0,60,1.1498484848484847
161,curved,0,61,1.156262626262626
162,curved,0,62,1.1626767676767675
163,curved,0,63,1.169090909090909
164,curved,0,64,1.1755050505050504
165,curved,0,65,1.1819191919191918
166,curved,0,66,1.1883333333333332
167,curved,0,67,1.1947474747474747
168,curved,0,68,1.201161616161616
169,curved,0,69,1.2075757575757575
170,curved,0,70,1.213989898989899
171,curved,0,71,1.2204040404040404
172,curved,0,72,1.2268181818181816
173,curved,0,73,1.2332323232323232
174,curved,0,74,1.2396464646464644
175,curved,0,75,1.246060606060606
176,curved,0,76,1.2524747474747473
177,curved,0,77,1.2588888888888887
178,curved,0,78,1.2653030303030302
179,curved,0,79,1.2717171717171716
180,curved,0,80,1.278131313131313
181,curved,0,81,1.2845454545454544
182,curved,0,82,1.2909595959595959
183,curved,0,83,1.2973737373737373
184,curved,0,84,1.3037878787878787
185,curved,0,85,1.3102020202020201
186,curved,0,86,1.3166161616161616
187,curved,0,87,1.3230303030303028
188,curved,0,88,1.3294444444444444
189,curved,0,89,1.3358585858585856
190,curved,0,90,1.3422727272727273
191,curved,0,91,1.3486868686868685
192,curved,0,92,1.3551010101010101
193,curved,0,93,1.3615151515151513
194,curved,0,94,1.367929292929293
195,curved,0,95,1.3743434343434342
196,curved,0,96,1.3807575757575759
197,curved,0,97,1.387171717171717
198,curved,0,98,1.3935858585858585
199,curved,0,99,1.4
