,category,jitter,shape_indices,widths
0,straight,0,0,0.4
1,straight,0,1,0.4405
2,straight,0,2,0.481
3,straight,0,3,0.5215
4,straight,0,4,0.562
5,straight,0,5,0.6025
6,straight,0,6,0.643
7,straight,0,7,0.6835
8,straight,0,8,0.724
9,straight,0,9,0.7645
10,straight,0,10,0.8049999999999999
11,straight,1,0,0.5
12,straight,1,1,0.5405
13,straight,1,2,0.581
14,straight,1,3,0.6214999999999999
15,straight,1,4,0.6619999999999999
16,straight,1,5,0.7024999999999999
17,straight,1,6,0.743
18,straight,1,7,0.7835
19,straight,1,8,0.824
20,straight,1,9,0.8644999999999999
21,straight,1,10,0.9049999999999999
22,straight,2,0,0.7
23,straight,2,1,0.7404999999999999
24,straight,2,2,0.7809999999999999
25,straight,2,3,0.8214999999999999
26,straight,2,4,0.862
27,straight,2,5,0.9025
28,straight,2,6,0.943
29,straight,2,7,0.9835
30,straight,2,8,1.024
31,straight,2,9,1.0645
32,straight,2,10,1.105
33,curved,0,0,0.595
34,curved,0,1,0.6355
35,curved,0,2,0.6759999999999999
36,curved,0,3,0.7164999999999999
37,curved,0,4,0.757
38,curved,0,5,0.7975
39,curved,0,6,0.838
40,curved,0,7,0.8785000000000001
41,curved,0,8,0.919
42,curved,0,9,0.9595
43,curved,0,10,1.0
44,curved,1,0,0.695
45,curved,1,1,0.7354999999999999
46,curved,1,2,0.776
47,curved,1,3,0.8165
48,curved,1,4,0.857
49,curved,1,5,0.8975
50,curved,1,6,0.9380000000000001
51,curved,1,7,0.9785
52,curved,1,8,1.0190000000000001
53,curved,1,9,1.0595
54,curved,1,10,1.1
55,curved,2,0,0.895
56,curved,2,1,0.9355
57,curved,2,2,0.976
58,curved,2,3,1.0165
59,curved,2,4,1.057
60,curved,2,5,1.0975000000000001
61,curved,2,6,1.138
62,curved,2,7,1.1785
63,curved,2,8,1.219
64,curved,2,9,1.2595
65,curved,2,10,1.3
