,category,jitter,shape_indices,widths
0,straight,0,0,0.2
1,straight,0,1,0.27208333333333334
2,straight,0,2,0.34416666666666673
3,straight,0,3,0.41625000000000006
4,straight,0,4,0.4883333333333334
5,straight,0,5,0.5604166666666668
6,straight,0,6,0.6325000000000001
7,straight,1,0,0.30000000000000004
8,straight,1,1,0.3720833333333334
9,straight,1,2,0.4441666666666667
10,straight,1,3,0.5162500000000001
11,straight,1,4,0.5883333333333334
12,straight,1,5,0.6604166666666667
13,straight,1,6,0.7325
14,straight,2,0,0.5
15,straight,2,1,0.5720833333333334
16,straight,2,2,0.6441666666666667
17,straight,2,3,0.71625
18,straight,2,4,0.7883333333333333
19,straight,2,5,0.8604166666666667
20,straight,2,6,0.9325000000000001
21,curved,0,0,0.4675
22,curved,0,1,0.5395833333333333
23,curved,0,2,0.6116666666666667
24,curved,0,3,0.68375
25,curved,0,4,0.7558333333333334
26,curved,0,5,0.8279166666666666
27,curved,0,6,0.8999999999999999
28,curved,1,0,0.5675
29,curved,1,1,0.6395833333333333
30,curved,1,2,0.7116666666666667
31,curved,1,3,0.78375
32,curved,1,4,0.8558333333333332
33,curved,1,5,0.9279166666666666
34,curved,1,6,0.9999999999999999
35,curved,2,0,0.7675000000000001
36,curved,2,1,0.8395833333333333
37,curved,2,2,0.9116666666666667
38,curved,2,3,0.98375
39,curved,2,4,1.0558333333333334
40,curved,2,5,1.1279166666666667
41,curved,2,6,1.2
