,category,jitter,shape_indices,widths
0,straight,0,0,0.2
1,straight,0,1,0.2529166666666667
2,straight,0,2,0.30583333333333335
3,straight,0,3,0.35875
4,straight,0,4,0.4116666666666666
5,straight,0,5,0.4645833333333333
6,straight,0,6,0.5175
7,straight,1,0,0.30000000000000004
8,straight,1,1,0.3529166666666667
9,straight,1,2,0.4058333333333333
10,straight,1,3,0.45875
11,straight,1,4,0.5116666666666666
12,straight,1,5,0.5645833333333332
13,straight,1,6,0.6174999999999999
14,straight,2,0,0.5
15,straight,2,1,0.5529166666666666
16,straight,2,2,0.6058333333333333
17,straight,2,3,0.65875
18,straight,2,4,0.7116666666666666
19,straight,2,5,0.7645833333333332
20,straight,2,6,0.8174999999999999
21,curved,0,0,0.38249999999999995
22,curved,0,1,0.4354166666666666
23,curved,0,2,0.4883333333333333
24,curved,0,3,0.54125
25,curved,0,4,0.5941666666666666
26,curved,0,5,0.6470833333333332
27,curved,0,6,0.7
28,curved,1,0,0.48249999999999993
29,curved,1,1,0.5354166666666667
30,curved,1,2,0.5883333333333333
31,curved,1,3,0.6412499999999999
32,curved,1,4,0.6941666666666666
33,curved,1,5,0.7470833333333333
34,curved,1,6,0.7999999999999999
35,curved,2,0,0.6824999999999999
36,curved,2,1,0.7354166666666666
37,curved,2,2,0.7883333333333332
38,curved,2,3,0.8412499999999999
39,curved,2,4,0.8941666666666667
40,curved,2,5,0.9470833333333333
41,curved,2,6,1.0
