Pp	Trial	Block	BlockTrial	ConditionCode	ConditionTurn	Score	RT	HeightOffset	Facing	Resp1_correct	Resp1_encLoc	Resp1_shape	Resp1_colour	Resp1_loc	Resp1_rt	Resp1_colourEncLoc	Resp1_shapeEncLoc	Resp2_correct	Resp2_encLoc	Resp2_shape	Resp2_colour	Resp2_loc	Resp2_rt	Resp2_colourEncLoc	Resp2_shapeEncLoc	Resp3_correct	Resp3_encLoc	Resp3_shape	Resp3_colour	Resp3_loc	Resp3_rt	Resp3_colourEncLoc	Resp3_shapeEncLoc	Resp4_correct	Resp4_encLoc	Resp4_shape	Resp4_colour	Resp4_loc	Resp4_rt	Resp4_colourEncLoc	Resp4_shapeEncLoc	Enc1_correct	Enc1_rank	Enc1_shape	Enc1_colour	Enc1_respLoc	Enc1_rt	Enc2_correct	Enc2_rank	Enc2_shape	Enc2_colour	Enc2_respLoc	Enc2_rt	Enc3_correct	Enc3_rank	Enc3_shape	Enc3_colour	Enc3_respLoc	Enc3_rt	Enc4_correct	Enc4_rank	Enc4_shape	Enc4_colour	Enc4_respLoc	Enc4_rt	Colour1_correct	Colour1_encLoc	Colour1_encShape	Colour1_respLoc	Colour1_respShape	Colour1_respRank	Colour1_rt	Colour2_correct	Colour2_encLoc	Colour2_encShape	Colour2_respLoc	Colour2_respShape	Colour2_respRank	Colour2_rt	Colour3_correct	Colour3_encLoc	Colour3_encShape	Colour3_respLoc	Colour3_respShape	Colour3_respRank	Colour3_rt	Colour4_correct	Colour4_encLoc	Colour4_encShape	Colour4_respLoc	Colour4_respShape	Colour4_respRank	Colour4_rt	Shape1_correct	Shape1_encLoc	Shape1_encColour	Shape1_respLoc	Shape1_respColour	Shape1_respRank	Shape1_rt	Shape2_correct	Shape2_encLoc	Shape2_encColour	Shape2_respLoc	Shape2_respColour	Shape2_respRank	Shape2_rt	Shape3_correct	Shape3_encLoc	Shape3_encColour	Shape3_respLoc	Shape3_respColour	Shape3_respRank	Shape3_rt	Shape4_correct	Shape4_encLoc	Shape4_encColour	Shape4_respLoc	Shape4_respColour	Shape4_respRank	Shape4_rt	TargetLoc	TargetCol	TargetShape	ConditionName
26	1	1	1	5	right	0	3347	1.500245	back	0	nan	4	3	9	3347	1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	2	3	1	nan	0	nan	3	2	0	nan	0	nan	4	4	0	nan	0	nan	1	1	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	4	1	3347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	3	1	3347	1	3	2	r1
26	2	1	2	2	left	1	1888	1.500245	front	1	2	1	3	7	1888	2	2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	2	4	0	nan	1	1	1	3	7	1888	0	nan	4	1	0	nan	0	nan	3	2	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	7	1	1	1888	0	0	0	0	0	0	0	1	2	3	7	3	1	1888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	l2
26	3	1	3	2	left	0	1665	1.500245	back	0	nan	3	1	11	1665	2	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	3	2	0	nan	0	nan	2	1	3	nan	0	nan	4	4	0	nan	0	nan	1	3	0	nan	0	0	2	11	3	1	1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	1	1	1665	0	0	0	0	0	0	0	2	1	2	l2
26	4	1	4	2	left	0	2355	1.500245	front	0	nan	3	4	10	2355	2	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	2	2	0	nan	0	nan	4	4	14	nan	0	nan	3	3	0	nan	0	nan	1	1	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	3	1	2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	1	2355	0	0	0	0	0	0	0	2	4	4	l2
26	5	1	5	6	right	0	2322	1.500245	back	0	nan	2	4	12	2322	2	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	1	1	0	nan	0	nan	3	4	4	nan	0	nan	4	2	0	nan	0	nan	2	3	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	2	1	2322	0	0	0	0	0	0	0	0	0	3	12	4	1	2322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	r2
26	6	1	6	4	left	1	1543	1.500245	front	1	4	4	4	7	1543	4	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	3	1	0	nan	0	nan	2	3	0	nan	0	nan	1	2	0	nan	1	1	4	4	7	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	7	4	1	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	7	4	1	1543	4	4	4	l4
26	7	1	7	1	left	0	2299	1.500245	back	0	nan	2	3	14	2299	1	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	4	3	10	nan	0	nan	1	2	0	nan	0	nan	3	1	0	nan	0	nan	2	4	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	2	1	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	3	1	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	l1
26	8	1	8	8	right	1	1766	1.500245	front	1	4	4	1	1	1766	4	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	1	3	0	nan	0	nan	2	4	0	nan	0	nan	3	2	0	nan	1	1	4	1	1	1766	1	4	4	1	4	1	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	1	1	1766	4	1	4	r4
26	9	1	9	5	right	0	1944	1.500245	back	0	nan	2	3	11	1944	1	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	3	3	7	nan	0	nan	4	1	0	nan	0	nan	2	2	0	nan	0	nan	1	4	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	2	1	1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	3	1	1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	r1
26	10	1	10	4	left	0	1821	1.500245	front	0	nan	2	1	11	1821	4	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	2	4	0	nan	0	nan	4	3	0	nan	0	nan	3	2	0	nan	0	nan	1	1	7	nan	0	0	1	11	2	1	1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	1	1	1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	l4
