Tick	Time	TriggerCode	Block	Trial	GazeDirX	GazeDirY	GazeDirZ	HeadPosX	HeadPosY	HeadPosZ	HeadDirX	HeadDirY	HeadDirZ	EyeOpenL	EyeOpenR	PupilDiaL	PupilDiaR	PupilSensorLx	PupilSensorLy	PupilSensorRx	PupilSensorRy	PositionLx	PositionLy	PositionRx	PositionRy	GazeAngleX	GazeAngleY	HeadAngleX	HeadAngleY	ViewGazeX	ViewGazeY	ViewGazeZ	ViewFixX	ViewFixY	ViewFixZ	HandRPosX	HandRPosY	HandRPosZ	HandRDirX	HandRDirY	HandRDirZ	FixationPointX	FixationPointY	FixationPointZ
435	40759	101	1	1	0.02736683	-0.06101219	0.9977505	-0.05160165	1.672151	-0.07305193	0.04602645	-0.007657612	0.9989108	1	1	2.90538	3.038773	0.4518991	0.4646663	0.4620276	0.4776009	0.4518991	0.4646663	0.4620276	0.4776009	1.571221	-3.499279	2.638118	-0.4396856	0.8797095	-6.153373	0.0881521	0.4921041	0.4855708	2.073936	-0.006230116	1.182001	0.1264809	-0.01624565	0.05330796	0.998446	0.003952347	1.545451	2.12801
436	40770	0	1	1	0.02722029	-0.06082465	0.9977659	-0.0514816	1.672203	-0.0731498	0.04565652	-0.007508202	0.998929	1	1	2.90538	3.038773	0.4518991	0.4646663	0.4620276	0.4776009	0.4518991	0.4646663	0.4620276	0.4776009	1.562728	-3.488463	2.616886	-0.4302385	0.8810558	-6.16682	0.08797716	0.4922293	0.4855119	2.074032	-0.006382942	1.181877	0.1264627	-0.01563892	0.05589203	0.9983143	0.003243044	1.545838	2.127953
437	40781	0	1	1	0.0258087	-0.06057311	0.9978181	-0.05144531	1.672289	-0.07320046	0.04516815	-0.007582049	0.9989506	1	1	2.91925	3.038651	0.4520204	0.4643889	0.4629052	0.4770994	0.4520204	0.4643889	0.4629052	0.4770994	1.481605	-3.473953	2.588836	-0.4347627	0.8839366	-6.155659	0.0881267	0.4924203	0.4855244	2.074109	-0.006416321	1.181866	0.1264795	-0.01502418	0.06157827	0.9979892	0.006579913	1.535058	2.281258
438	40792	0	1	1	0.02579658	-0.06016086	0.9978541	-0.05141175	1.672295	-0.07323205	0.04499432	-0.007249858	0.9989609	1	1	2.927353	3.036621	0.4520204	0.464339	0.4631085	0.4770428	0.4520204	0.464339	0.4631085	0.4770428	1.480813	-3.450201	2.578837	-0.4154301	0.8872917	-6.196297	0.08759309	0.4924871	0.485407	2.074118	-0.006446242	1.181967	0.1263068	-0.01450888	0.06533024	0.9977582	0.01067353	1.531132	2.39123
439	40803	0	1	1	0.02561589	-0.05982645	0.9978789	-0.05135351	1.672328	-0.07331049	0.0446643	-0.007161123	0.9989764	1	1	2.927353	3.036621	0.4520204	0.464339	0.4631085	0.4770428	0.4520204	0.464339	0.4631085	0.4770428	1.470469	-3.431024	2.559944	-0.410693	0.8903078	-6.203082	0.08750486	0.4926117	0.485371	2.0742	-0.006445706	1.18207	0.1261648	-0.01421795	0.0663733	0.9976935	0.009872042	1.531401	2.391187
440	40814	0	1	1	0.01950576	-0.05179654	0.9984524	-0.05129391	1.6723	-0.07333446	0.04427584	-0.007108066	0.9989941	1	1	2.956787	3.026489	0.4497029	0.4637052	0.4623428	0.473473	0.4497029	0.4637052	0.4623428	0.473473	1.119076	-2.969661	2.537673	-0.4073442	0.8920611	-6.209538	0.08741859	0.4927557	0.4853589	2.074233	-0.006611526	1.182009	0.1263577	-0.02714507	0.0545309	0.998143	-0.007031761	1.489678	3.182841
441	40826	0	1	1	0.02069975	-0.04869447	0.9985975	-0.05120248	1.672351	-0.07344699	0.04416392	-0.007179115	0.9989985	1	1	2.835861	3.012024	0.4503493	0.4594347	0.4601209	0.4737286	0.4503493	0.4594347	0.4601209	0.4737286	1.187456	-2.79169	2.531263	-0.4116447	0.8900057	-6.192746	0.08764075	0.4927798	0.4853775	2.074352	-0.006535769	1.182508	0.1265708	-0.02143296	0.06635201	0.997566	-0.0407245	1.619321	1.417466
442	40837	0	1	1	0.019876	-0.04632423	0.9987218	-0.05118215	1.67236	-0.07349384	0.04371478	-0.007123978	0.9990187	1	1	2.89212	2.980377	0.4498501	0.4603135	0.4604251	0.4727561	0.4498501	0.4603135	0.4604251	0.4727561	1.140209	-2.655718	2.50546	-0.4083038	0.8922988	-6.197886	0.08757299	0.4929559	0.485359	2.074411	-0.006599009	1.182671	0.1267084	-0.02418339	0.06677879	0.9974747	-0.009829894	1.562756	2.679007
443	40848	0	1	1	0.01941689	-0.04626285	0.9987336	-0.05114692	1.672357	-0.07353508	0.04348937	-0.007117029	0.9990286	1	1	2.89212	2.980377	0.4498501	0.4603135	0.4604251	0.4727561	0.4498501	0.4603135	0.4604251	0.4727561	1.113642	-2.652177	2.492536	-0.4078243	0.8923644	-6.196548	0.0875902	0.4930377	0.4853591	2.074459	-0.006757677	1.182977	0.1272111	-0.02559691	0.0664511	0.9974613	-0.01041856	1.562774	2.678972
444	40859	0	1	1	0.0202355	-0.04657039	0.9987059	-0.05110902	1.67235	-0.0736233	0.0430976	-0.007221994	0.9990448	1	1	2.837616	2.973358	0.4498501	0.4603135	0.4608859	0.4728037	0.4498501	0.4603135	0.4608859	0.4728037	1.16079	-2.669832	2.470054	-0.4140146	0.8921745	-6.177901	0.08783334	0.4931842	0.4854003	2.07457	-0.006965578	1.182957	0.1275069	-0.02659283	0.06474292	0.9975476	-0.008760847	1.563801	2.657485
